"average_stars","compliment_cool","compliment_cute","compliment_funny","compliment_hot","compliment_list","compliment_more","compliment_note","compliment_photos","compliment_plain","compliment_profile","compliment_writer","cool","elite","fans","friends","funny","name","review_count","useful","user_id","yelping_since"
"4.09","37","6","37","14","0","1","18","2","10","1","14","40","[2014,2013]","8","[""A0j21z2Q1HGic7jW6e9h7A"",""8SgjU2fID9VqKQooFt1DIQ"",""yrGIgk5eaWy-eewLNv4KHQ"",""xNKjIktegMyHVSXFznJTRg"",""iJVzI-hZl2vt8bPBPeWv4Q"",""DgPtEt-MsOBqqydh4w0Vtw"",""qCzx039NVrJkWnZEqQ1JKA"",""FDl2n7XpuVX1iiKoxV5nuw"",""IBiHQzvzP01UNuLbADSz4A"",""bpgbVPJcG-wQ4cNBcPPIxw"",""ZbeknMQQmKosOCRhu9utHg"",""qZB8BZ2ZzMF0VfIGhttu7w"",""EJ7ZhRHsMWj8du77LX34gw"",""PV-0HCthlb_pxAcCvSUfMQ"",""f_gZwl0Njrw9oRVJz9tL1A"",""wF84ppv1ljvvSPgZq5GcsA"",""BqE21d_vGACZFU2U8dCRSw"",""zMXrCxEgpj5wsE3aSxieXw"",""3C_fiPzbBs6y44Qggd0DGw"",""V7B4KTBitlBs9YH_B00-9Q"",""tCbEkK11lnqeaNVkhlurrQ"",""qvat0m7wArVfWVJ8l0DYjw"",""axgTd9A-YSDcfHH4I8gzdA"",""MyVtbDfX5k51snQ9oIXPRA"",""F684QuqLBSPV7V6cLjSr0g"",""AIHzJz0AvTq0FxCLtBhOZA"",""URHw69BMSFSB4FfKj1kIZA"",""O_GWZZfQx7qv-n-CN7hsIA"",""cVl9mMg5Zr5yF1exILIKaQ"",""o9DYSlFm9pQwiurVs8U5ig"",""jr501h3avW9GlenRzyuJdQ"",""eWz272mQDO02gtI5KFmsJA"",""u1hyWqYJ7AlQwK-Y4iD2zg"",""k-ecD3aJBb-MwuAfzGiFmg"",""4d13xAX2jp2EbGF8I9eZZw"",""TBLdjYJMIDaM6dB23AenLw"",""yGkYOvI12WL35b1yIfYuEw"",""rKOVduk_kQpoIiom5lbBAQ"",""84FuHcNTIIkkyMbO1I_gPA"",""CRpckeYpQMkGIlENrX7brw"",""fSvFRzmqSiYz5nR2XOGuug""]","47","Megan","57","58","_hsT7ulNmBpc3K0NU_cxrw","2012-08-09"
"4.44","10","1","10","5","0","2","6","3","54","0","6","77","[2015,2014]","6","[""Nwb9CPnmRJFBzQsXkCq7-w"",""rSarkkY0J4YhUGf2EOHmuw"",""qJ2TDKoWXDqNjtWhoZyxMA"",""WYtbAHgY8rm0YaUtW0HnBQ"",""zFo--zdHXg6KJ1RYd8r1BA"",""B97Divrotd16E0Dg023swQ"",""-24Yo5J2MvjL685lPpQWjw"",""WR4C0U4EML6kzwWDGDsGdg"",""tBeEt3o3ismz8fcQL9CosA"",""INgocgXv94oeTuzyXtjpYw"",""dxjehLpGgh08vby2BksV6g"",""aHrC3wjlpfVOn4vUA3HAKg"",""yJP-54fC6lpYXXl5X0JyJw"",""7Ia5yRck89GVyHzWZKRAYw"",""pSYjXb62QotWzt4RKt56pw"",""eujtZMdyJFxCbBoAZhcrEQ"",""7MMHe9aG_3sGW7oL-2Zg9g"",""adtOywpRnG5-4mjQMQE1FA"",""tbycp0aRhRsiAVYUAVR_uQ"",""9M3gY85BdlzFidhQyA5o9A"",""uvRVutQ_Gu-OivL6ox0ouQ"",""C7U4DRKX-xUEhiiHHwz6Bg"",""TWkZAEsuxaidX4HOMRnRAQ"",""eAJ52EOENhYv07QFSgK7FA"",""DzQhMZi4fzsV-nBNvD3Jfw"",""1Dj1VmFzA-t9fT8d4ExJAA"",""aY1pbwrDLHHElTW-uU00_g"",""_UrgR8x-enYzt-XgnjJ3wQ"",""Yz77uNLKFzS9rlQYOgbQSg"",""8teQ4Zc9jpl_ffaPJUn6Ew"",""uig9_3wZN5f4m4D8rJ33pg"",""JUT0U3HTSB3kz9Wh7N0GqA"",""PKG18YP59kZME43akNInDw"",""y4-1jeScO-vcW8L4TSUK8w"",""M1UrTf3PH-st3Q6u8VovTQ"",""BSRKX2Ar4TBIDIg4MLKlgQ"",""MGunJ0B3KhtZWOn7tnMveQ"",""nT3tLANzGy0a7DuB_GIQjA"",""r9oCb10VHXB8C_gaiFHuZQ"",""FqNT4NXpauSXVzP9TXHkMg"",""D81Tl2Dun4Elirs2sTnRHg""]","14","Kristine","52","149","mUHJuirfyq3EsgNbhTkj2A","2014-08-06"
"3.79","10","0","10","5","0","2","3","0","6","0","1","3","[2011,2013,2012,2015,2014]","4","[""eUpfvPufEHIZ2BgpKbupqw"",""8SgjU2fID9VqKQooFt1DIQ"",""p_ELker1-IN8HXlevmMx2w"",""iYP8VvWg8SEcqsfq22NqGQ"",""SVH0qJBvYGLxrt6YuUdyyw"",""8DEyKVyplnOcSKx39vatbg"",""XP2PTvG-_s_aFHs4_FoFzw"",""NGkJb563dDvWApmRYmC-kg"",""qQ61hXIe8U8jPXBf4q81WA"",""RBZ_kMjowV0t6_nv2UKaDQ"",""IT5KvmWkcXoMZv3tCJ9zOQ"",""9E35LB29RXJixo0563Iwew"",""EFiTyZivXL2M3UFooggNqw"",""h6yYukc_lo1W3Tsd_YsaAA"",""PlvrXCV9XQhMG5ToNETWvA"",""7PKQM6k_TMJyWhz5XD_05Q"",""Ou4meI9gaUeb1Bkc6UD6cA"",""hQ1TGSXeIfIkRvppBTf4vA"",""-micGOUpuJwszNve0zqwIA"",""kfKdpGst8x_u6baXsP1G5A"",""IeAopnSztNp0IjhaLtlFgQ"",""IU86PZPgTDCFwJEuAg2j7g"",""4IxVo5Cp3TyyyvH8wOT9yA"",""04J_q_VhSBItxNiEAN-gkA"",""KQMzfaaI9jfo68S4CsCifA"",""ZgVclr-28eQE8RC7vutmdw""]","4","Rich","220","35","CEzX4YwAGc5rm75ME1vEyw","2009-11-07"
"3.18","0","0","0","0","0","0","1","0","0","0","0","2","[]","3","[""tfBnJCPMpI989z6N5vPPug"",""BqE21d_vGACZFU2U8dCRSw"",""6lypPpnU3ie7eCRHyeMrnw"",""ZpeBGkpNcSeOcMoUECbFxw"",""9Fq5GYqeBRWxePSgng3AvQ"",""aeuo-PdHqd4IQSoH-Kueyg"",""rDhXWOu0W3-sTaxAl-2xiQ"",""V7B4KTBitlBs9YH_B00-9Q"",""bul7PvrGmZQLM1pin_nN5Q"",""8m6GZWnFb16JOX9vgv6UdQ"",""dHQ1CxU66FgBStR7XV-gRg"",""YM_i61CqjJtyK-3GgVH7Kg"",""Hlz-P6LgMJe8nz08wVFghA"",""ZSxMllzfY6aBxUEQX-w71Q""]","4","Cali","92","25","EgUGBGTJUvFJgHyFwgpD1w","2015-06-19"
"3.94","26","1","26","12","1","2","6","4","27","0","13","217","[2017,2016,2015]","25","[""dOFyIGbyfB69VB4pnoKqQA"",""9ks-80ZxeCZWNObzEbW4-Q"",""VpqKcpEq2rgoS7Jlb_Aj1Q"",""KMddoqBFJ2h9AYbaetprFg"",""wOGfOjBaP-lCS1NW_En2LQ"",""fyg8Dw7BQ8X3Wria7-tHcQ"",""c7KRpENpwni-RfjRNrYfRA"",""FuTJWFYm4UKqewaosss1KA"",""r2R9t9_0Je8wP-wh4-xM3w"",""LwVUO_5jjHuJRhvl6hlHVg"",""zpwWpno3U-oZaG3AJuKqSQ"",""8hbMyONy7kQEVosswobVtQ"",""A8TRpa--43-mbig73xfhrA"",""52Oq0fCJWaHpQtuKqTkN4g"",""3zQB0occCSGJgkT05ae3vg"",""bLbSNkLggFnqwNNzzq-Ijw"",""0nqshyLgABOSyTfJUTthjQ"",""owlUazXSDLaxlOV7z8181g"",""8-MD6iBM9phQyGUiYfK3bw"",""EG6qatWgJ2WTJnzBCCH_Dg"",""hMkpOTUbhqd5VAJznF-hhw"",""KXkl7tyD1G0uv5v9ddNYmQ"",""QtuzG4-zmGTdB0jSMC54tg"",""klN7Yw_aVUBscqhlkpKkRA"",""Qcub0470aAFJsPsqbXAQtQ"",""P1IQm0Rr5eA9VvmV5HYGVA"",""JYcCYNWs8Ul6ewG5kCYW4Q"",""5Nf8EdeXKFyhcAUmRovsrg"",""tH0uKD-vNwMoEc3Xk3Cbdg"",""_pMzR6yoPbU98t-NH8TZ3w"",""LTCxnnAQGaGZPHZx4KbvGA"",""oG9VFtr_ye8v2tDnS3NOYw"",""dfQ1NTHZy0KZhOfeFK_nng"",""IGBilULpgNHfKitLfrs7Hw"",""yZpzRSK00hFeLNnwOf8R1g"",""yV5GOIgaB2U2ilb7kj1ybg"",""xLoEhU6zvFzcc0erH7gfyg"",""s2o_JsABvrZVm_T03qrBUw"",""L3DxG0n3lRq5N2lv1QNrrA"",""uG35h72BAMutvXAWdRpqCQ"",""SfY0jEFqBkrqq9bVi6P31Q""]","101","Lalena","224","443","-50XWnmQGqBgEI-9ANvLlg","2014-02-20"
"3.24","19","2","19","16","0","4","11","2","10","3","6","10","[2013,2012]","22","[""ASvjSBCYRd4GhOtSIn8Gyw"",""o4tYl3Hz0oDfpNn4k02DCw"",""BI43zsVnKZHtMI_4GBStng"",""hizGc5W1tBHPghM5YKCAtg"",""0cXkwC3EYInuhcqOIS0yDQ"",""5xyUUCEtv0fLEQrmJuZnRA"",""rKOVduk_kQpoIiom5lbBAQ"",""j1zlpSYDZJ7NgUjLo-MySQ"",""NZOTHK7fVn_4L966mk25EQ"",""MHxCu8ZsBSimWpm_3Hk3jw"",""bzU8Cl6B9nqV1i5NReobvw"",""KLa-WHDtN-wjyPF8p1e4Cw"",""F9vYcUknd9JY2lxsaEObQQ"",""rWxJKFRojGJ6GgU9WnXWHA"",""a4mO387_O77ebmv8AlQB3A""]","24","Vonnie","326","198","XHHUypDIxHvykpqd7pjydw","2010-08-18"
"3.77","13","0","13","1","0","3","6","0","10","1","5","2","[2013,2010,2009,2014,2017,2016,2015,2012]","13","[""nT45X7F7-wOLgyMTm5mA1w"",""6c1srTslHwgcTIM_-GH5Fw"",""9UaQnSBUgItgJy-yZKK_CA"",""cjotiAHFSbFuvbxTWmGi1Q"",""3z7E1Gg001_1YdZZYDnO2A"",""6tbXpUIU6upoeqWNDo9k_A"",""VFCnyJOk6rjaBpg3ptC0bw"",""ACUVZ4SiN0gni7dzVDm9EQ"",""pxWlkGghq7cs9aWvat4lYw"",""vSw9-goPWzIrmIDsBix49w"",""7gZW9sjN7QXkVm3G97DgTw"",""Ol9QKjt8BVbibzZh7u3YwA"",""MetAcdrkvrS1RcCfbXZJwA"",""Nhk0jTP2gkU12G4LHJVR3A"",""IGoJ2edfu4Qc6ZRoT2XZ7w""]","7","Shawn","310","38","zMLbjqeTqp83g0uIAk0SWg","2008-05-24"
"3.68","0","0","0","1","0","1","7","0","3","0","1","36","[]","9","[""BFTxzvXftqqBFgfry1kBgw"",""zHkSnJBnIExSkp4MN-GhDg"",""dIIKEfOgo0KqUfGQvGikPg"",""O_GWZZfQx7qv-n-CN7hsIA"",""oIrqtOx_JtIn-_xBkrDHWQ"",""6Sv7sHuFd5fjL4agkp088Q"",""lccsIaHyqWcvhzhLYN8LOg"",""QZ3FD2WyBf5asELsQCXH0w"",""lJaMhVl641JJhTZhR3s_EQ"",""mTM1yxoV9I0_SSK1mLldmA"",""4GUoCWtFc-hQU1muV-6Z4Q"",""tiX5iVxgvhNnay1twYlQAw"",""cwueZl7VqnEiuY-c8CWaLQ"",""gxYsLtosNDh9EAoT87MD8g"",""Bc1XPkeOnoXzoj9LG8hS3g"",""MFGDwMQJijNc0mHv1s_BUQ"",""nPtNE0FZl0nDUufu6AF3Cg"",""T-OHC4JCQlBMOjbAifZmwQ"",""MMf0LhEk5tGa1LvN7zcDnA"",""GYFC5pjFgcAfEMX54D495A""]","32","Alex","196","93","luoKlcUmIIVPpHxXt4LRMQ","2009-12-16"
"3.72","136","0","136","72","13","4","72","7","136","0","98","322","[2012,2011,2014,2013,2015,2010]","35","[""IXdmrbRu0veA-OuaP0URwQ"",""-50XWnmQGqBgEI-9ANvLlg"",""a1nF_Yzo2wG7eE61lRn6EQ"",""3Vd_ATdvvuVVgn_YCpz8fw"",""UagyUlCgutVibs0KREJ-KQ"",""r2R9t9_0Je8wP-wh4-xM3w"",""wtcEjxgKcfb8sCG-5Tl2pQ"",""JM0GL6Dx4EuZ1mprLk5Gyg"",""C349hhMXsGVdxk6u-xf6GQ"",""1vMmzy_K5sdoK9P-mNFJXA"",""deL6e_z9xqZTIODKqnvRXQ"",""jrMxBHW3SlUGVGYWvPsHWA"",""WPNYp3IyJpOSJ4bhFbYAcw"",""owlUazXSDLaxlOV7z8181g"",""9aHS1o9JVm04buXN9PgE4Q"",""9zEKnW2djJ3eWUhgSI_p2Q"",""k4M43lXJuQMpQW65DTqzIQ"",""AoII0-uM9z0EesGnb9YCjQ"",""B7_4IcWNdRq2VZozF34BZQ"",""K9N5jNFuJHLv3MvhRHKR6A"",""rdysF0ymVkMX82Bu_8x3nA"",""PomQayG1WhMxeSl1zohAUA"",""A2N4y0VeZ-3TtmBVCSVVnQ"",""TcjkkzoYaxSuC41ZzoqqqQ"",""yDXKMFzg5yjOAn4VdX3OOA"",""7Pxx2FehELyKthPj0OY1sg"",""NtgSJaUmcoBRxHMbRQtDgA"",""zYPhmewU6M-NAvbqIOTM4w"",""x16Fl_5h9aX4tn38kKSGHw"",""mxwMqra7TEZ6K4ML3DgPmA"",""wnO99pBbGqwqOoTQM25iCw"",""4N-HU_T32hLENLntsNKNBg"",""0do09cOmqtVozvZacaoQ0A"",""Tx9YmzkGh2F-VT_c_Xcm2w"",""dEgO4_n8thLMbG1dKfFMHg"",""YwaKGmRNnSa3R3N4Hf9jLw"",""n86B7IkbU20AkxlFX_5aew"",""p_azadim_uWFOXAhhKB3ag"",""i_DR3vdE73nVm2GlMbGpGA"",""LkWNo83Lg92C5V4JEyxOZA"",""6ehZ3X1gaHe-fxzndNRweA""]","167","Dan","162","454","wOGfOjBaP-lCS1NW_En2LQ","2010-06-20"
"3.89","19","0","19","9","0","5","9","15","21","3","13","82","[2013,2017,2015,2014,2016]","31","[""Q6E66wyWs8OOC_KxDLT4MQ"",""d7GEtCjg4qppeV0DzW_WfA"",""c7KRpENpwni-RfjRNrYfRA"",""wTfb2nfzPIyFcYQArdPtuQ"",""O_GWZZfQx7qv-n-CN7hsIA"",""a85qPvr6L63PF0v9Zs8ZAg"",""URHw69BMSFSB4FfKj1kIZA"",""f_gZwl0Njrw9oRVJz9tL1A"",""GE7DgP1uFPEBCr81NEWMjg"",""Q1jSXhDdn_H77WqXL6WICQ"",""BqE21d_vGACZFU2U8dCRSw"",""qQ61hXIe8U8jPXBf4q81WA"",""no2kFt4TEEzZDVaM8haSDA"",""9mkaaU4tx5J-029axdvGXg"",""FZX0rthFeBtItRt1n5yF0A"",""SsYDYuT792irBRoGpcOmrA"",""KWY0QyEXEMGh6xCB5oMUzg"",""DiNPTmQ2y0Yk4nRSF5ytQw"",""pTfYqd5MaTTIRHyoUZbu1Q"",""MyVtbDfX5k51snQ9oIXPRA"",""tFeGSYSSSo3UdWIRSi40SA"",""lU_aNRWw8edBmIi5_NARmg"",""VvLhL1THnDwNNWlP4ydv8g"",""6urS-vMeMNMw1ogB577H7w"",""aeuo-PdHqd4IQSoH-Kueyg"",""LS0Cj5IiH28NnSChCLPSQw"",""m7U66xb999BrsA7xaPW2jw"",""GWs9J6lIUqrySTxl6uXO0A"",""6AMwQ8cFWIKGbGpVwehkfw"",""hI2loH7kDzDCBkJjPNKsFA"",""xywXoLnG7qWIayFu8oZQgQ"",""sB9W6Tbr1A-ERfUXwJxirQ"",""0ibkznjKzGlySB12WIn82w"",""RBZ_kMjowV0t6_nv2UKaDQ"",""pKn_H1nkgrwJS6TuHODsvQ"",""OPHtdryCpZaooJ_kfJlDxA"",""7SuWEgp0Lbz5ob8ckEX75A"",""q2G6uk_CRIBSE8fOpCzDyg"",""5MKqkzDbludCpSqBlZU3Kg"",""Yj9TXFf1qNuIyVFT3EHzDA"",""04J_q_VhSBItxNiEAN-gkA""]","25","Alana","248","157","YF3KmwYMeONIfX02OTxwFw","2013-07-02"
"2.72","3","0","3","0","0","0","8","1","6","0","0","4","[]","11","[""9ZXaiRPUbjBscTY5F2Kf_A"",""omzK_8C8RdZoulHbC8t3Ug"",""Z_g8glT-ZZsykP11wpXELg"",""-xDW3gYiYaoeVASXywTPgw"",""Ome9YBGqPyXEEhgP9IS8_g"",""O4mojGhjVsr6hJCt7lLfiQ"",""_xuWz_ABhVJ4DtJYzC6ayw"",""gbP0THM6xABtxM6ZiwLgow"",""8eA8dxv7rG_XbyFnbY7aDA"",""AsqGY-mvNg4KEyIEtjkQow"",""tH0uKD-vNwMoEc3Xk3Cbdg"",""tyaqaJlJkrqqHiCoUg2WCw"",""yJhYNXnLvDcg8Aap3I663Q"",""5OllWsrKJsYo3XQK6siRKA"",""RxZ3zWKqSBUHmBKdDAloiw"",""yPVUOv56zrYlpP7wJpJJWg"",""bcxc4OF5SDiJ4xnNMBZUQQ"",""8j64RTecDqw8hdJuSqJYCw"",""BQOTNkyvQYfL986eKpJ9HA"",""6NO7Xo2DPrMGja5fCgqVIw"",""S5Eld1fZx6D8d9i5YbFOaA"",""3OHqKrEXzyzxH1T1MW7E7w"",""RUa2_2yuSwJtU7sTXz-omA"",""GzsewIj61htjAr0O0k_dXQ"",""tnSVm_tdM5zthKgmGF5d1A"",""3zczu4YDXk5M27xMQl-Few"",""gUu0uaiU7UEUVIgCdnqPVQ"",""pxzs-Dy2hXTis-PuNCV37Q"",""zHzvPBcXuzyGSAPzc0k2Bg"",""PhUqhfyk3jdaS0Xb619RJQ"",""Gjv3ERasrRJqtEPa7ZMUSw"",""IMguz1Z9dp8HG0UfeLEdEg"",""rtOP1AmOHbZv9yQ7VI8InA"",""-C-l8EHSLXtZZVfUAUhsPA"",""z4RytucxI_XfcMFaEI2DRg"",""WJhQpdUHoFCtpU6gHFjVlQ"",""wkHiYUtL5vcpYSPdCFnk3g"",""t2nPIKI2iy8VG_cfFD0Vmg"",""qewG3X2O4X6JKskxyyqFwQ"",""RQlnSCjuqMnhR3Qk6j4KoA"",""5I6-yegWr4p1mtUMwNkVtg""]","4","Cookie","98","29","3YAsLpbykHxYKunBpIjGNQ","2010-11-29"
"3.76","8","0","8","12","0","2","10","2","19","1","5","24","[2017,2014,2016,2015,2013,2012]","20","[""YTdNcIWAt2nEzZ7NY-fniw"",""jrMxBHW3SlUGVGYWvPsHWA"",""LEQQqGzow9bIRtfMu6sl3g"",""vjLAGDO7vBr_mB-KhL6sdA"",""MeDuKsZcnI3IU2g7OlV-hQ"",""jTOVyx9u4UoMoI-O7s8mwg"",""lGj7s42BJx_Xg7ZgaO_dmA"",""eHorxrf-kxeQpMKbdH9XZA"",""Kz1c3aZnhXbmKZz05thU-A"",""PTlq674KNFKyHNCTmmh6nw"",""eSlOI3GhroEtcbaD_nFXJQ"",""ncvgNeEsAIAuMWYFN2blhg"",""POm-VhI438lAH003e-FD5w"",""5AyaCHkJaeMLmjzu-NwZyQ"",""xGucghTNdlBiMtAU-AWWfQ"",""wM9RFY6H9MQQYfSUzdsIkQ"",""IyIsFkVY48JWa01inv-7zA"",""ZsMVBkrv1UFRM3qMJLsHXA"",""yLljoL8Uxagzzkg85RvGYQ"",""M9tWCo1is6YEN5XKLBJ6LA"",""lkUpGswBjo2xMWKlW-IxDg""]","61","Jamieleigh","422","364","5v2i1lqsqGxQv8XV94Uclg","2011-08-01"
"3.55","196","9","196","139","14","16","66","7","73","0","56","139","[2009,2008,2010,2011]","44","[""p1hBWew9iS4OYu_fzsK6MQ"",""KcjLcdus-XWt6E9uJeHONA"",""avXKk5RYsDWeRgkHv1wfGQ"",""BxV2pTVmYCW15gSZAPMFKQ"",""aMN80DrgGyk--Nf2Du9M9Q"",""1Sl_w3Reyrirhxp4wpW4lQ"",""yszYcfzs9iyQ4cAnE2sMvg"",""0E6g9TnZ7tTnfvUoyaR6Cw"",""SY4Zk2paWmR3bdKW2SXLvA"",""KGsXnYHvYddGaL_jyl0DMQ"",""7aiIlfpcQZG7ea10R5i4RQ"",""NjLRgbRZiwEIMpAgXypJtw"",""DiNPTmQ2y0Yk4nRSF5ytQw"",""7pi5q0cT60nBNwlHV0wLKQ"",""f-8BKEVPqiqRaNNmhjAU8Q"",""_txhy3UvyGffFh8FLO2_qw"",""hAy_e_49c9LcOelpJ7Hwhg"",""mIysRk_cJ5K_BMZ-r06TFw"",""Zw-GjyBBpwU5eTM6yRs-SQ"",""DK57YibC5ShBmqQl97CKog"",""UkeahYZzVYF3GKxau1Vzjw"",""Rzf35jKV8e8EJdssrae_AA"",""vSQt3TOhI4XJW6eB4PRM9Q"",""pQdIIsbV5dGOVz_kWfMRTw"",""6OX2aYwMN-ZVwM1CVEQ36g"",""Exa4ztuy4tHCMTn5gamQDQ"",""dIIKEfOgo0KqUfGQvGikPg"",""X4dULKG-TCjkh0bqXjJlFQ"",""VYqRk78kesHn86jPngPUXQ"",""X8XtoFBoAiHrw3rZ4v8cRQ"",""maK3UBQczh33NuDjBYeHrA"",""YdS7NVnEhK0gTypX2kMc9A"",""0UI9KTPdtkwl9lMdMT-Sgg"",""Vmsmf4i096q9feBgp4CuXA"",""eUKRn30NAmL5E1M_UpiSdQ"",""6aSVrKFKo8GyfmU6VmGYTg"",""J1yNYAjojpD_KpocG-W3KQ"",""gH3JDpHQfVcMEGaAaCJPjA"",""sSVXy_dI4kgS5ydm3BpZ2g"",""iIVZhwiuy9twreCTMsxcbA"",""EckWjCrPWekulzJB0YwVaQ""]","105","Cher","166","176","9d52DhEbJQ1w5LXaZw4nzQ","2007-12-18"
"4.15","0","0","0","1","0","0","3","0","7","0","2","2","[]","0","[""R34SWctxUxi3rIntqOg9tA"",""ynYwC-GPVqVQpkqehc8XMA"",""0eA25m6Oq9b2fcwupt8-hQ"",""V7B4KTBitlBs9YH_B00-9Q"",""4HtXk9rD41cpKAdUI4baAQ"",""LwSU7fthwBZKI9o4vS0dAg"",""LXaQCvbFHzFZpmksyeSKow"",""IU86PZPgTDCFwJEuAg2j7g"",""HCn_c4OhIREcNNBi-5MD2w"",""2FLgqwts2u_5OlOLfA1QIQ"",""MMf0LhEk5tGa1LvN7zcDnA""]","10","Samantha","28","20","8SaN9ts8Mq67zOdGfMvc2w","2009-09-04"
"3.44","0","0","0","1","0","0","1","0","4","0","0","0","[]","2","[""7qsSe-2XHTl7RqlrqwPTQg"",""LWV1hmWLS_qd2AyQi-_lYA"",""OOqCI5ODiiLwWh-6wNchdQ"",""YOAwMvosjmUmFhlEYUSBKQ"",""TYdqTZxwCSTYK_-IIM59uQ"",""IMkif9yrPAxj-0-nrrgTBA"",""_VLJPIDqRMwtuF17Dcz-EQ"",""uks8ILr4WDn0q_s1LpVKRA"",""MYaRBm62rymuqCSHAKlAWA"",""IJL--65w5S4Pj-iSY3njJw"",""Nzpll9GMyYnq_dob6gKnew"",""8J9P5IXOkkLLeTX207Km4w"",""83Bgz9gPxmJEYBOVKWXH2A"",""qN3bsY-OnkYNy3zQfpRQsA"",""zulBnf95Ji1_LAcQKyhi8w""]","1","Shannon","49","3","nS36RRnJJH-tZRJJ0Ovqzg","2010-07-09"
"4.16","0","0","0","0","0","1","7","0","10","1","2","2","[]","9","[""URHw69BMSFSB4FfKj1kIZA"",""yt9hagtZSRBtInJxARqsRw"",""BFTxzvXftqqBFgfry1kBgw"",""unY-F7AsYkQDvILMpd3jPw"",""EzMBbb9rvZgEMtSlOqh0Cg"",""U7NLhaVfOJrHb9XLsZbJnQ"",""RBZ_kMjowV0t6_nv2UKaDQ"",""dr-kjLvSAAq3l6gNjMGpXg"",""QGgWWhEi5R4SLAKN-xwtNQ"",""04J_q_VhSBItxNiEAN-gkA"",""eR38_W7hKgTlQ7fVgbRvig"",""-SVh_4aVR_7ktuhscvmZaQ"",""Q_QsCiaeQ5T_CfmidxEM7Q"",""fSvFRzmqSiYz5nR2XOGuug"",""D9patliQtlm646P_fyiCaw"",""Ov-0pRQxz5fTTElFE-WtTQ"",""3q-Nc1wWrnyKB53I0ZiCwA"",""gjk5cKnZ04COdZyLskqiMQ"",""vAzckjIxNub0T8HKe1T_mw"",""PaNO-eyIdrdZnF5FeNjd4Q"",""wtKdt9mbZ5w_7jcE0Lk9Mw"",""vetn-T90QirTF_vSFRbu3Q"",""eANbpTWkTR10zz6Dqx2A2Q"",""Q4Y_A0-Mqi6K_HQVRtyM-Q"",""3ucwqkoF-WNy3hi7nozH-w"",""LisTsUqnQ5RoW6reg6hyWQ"",""k4wdyggPb3eCcPxK9DVcdg""]","17","Brock","306","40","ETUltw5xeoXXQkxon-M-gw","2010-08-30"
"4.81","1","0","1","0","0","0","0","0","0","0","0","56","[]","0","[""dOrm0f_RpCogWMP5WXTmNA"",""LjahTxowASKJ-5VEEaoWiw"",""Oil05-fWOiaFAdPnaRqihg"",""lv5Sq76QMwDVji4GGp7TDA"",""104GJwBwgn7PzhRkxoQmVQ"",""FhAlRMOwwug_aJ13_WsGxw"",""61vif4q3wySe277OlA5xbA"",""pBKNisDiOlIsZeZxSgqxZg"",""svj7zNdGjo2bLW3N-YAxvw"",""NDIzeJIScM6SAR8wPjNjLw"",""wu1jW7zTZbjNUWFGIze4mA"",""_NA1-dVTe7zdoj7d5TPxhg"",""p-mOqQtmbDJuV71jJa5V4g"",""hvtJyz3YQ_O5vBdqpzLI5A"",""bEfggrNQ9vflDEO2tXDCew"",""Z2dTz9wLI1qZZJEo-fu3bA"",""l2pqpvAUMYroh6l_wpvEPw"",""xQEkhgrEyU1ssUhum0WZdw"",""Gd9goxOHld8UOWYqsQHGSA""]","16","Nick","16","67","JZ2YDlRVG8v2MXQkAI6oTQ","2013-07-20"
